Longitude,Latitude,Depth,date,time
9.30177575349808E-01,1.93807342052459E+00,-1.95064808130265E+00,3/29/12,0.024713401
9.12227116525173E-01,1.58277921378613E+00,-1.84598702192306E+00,3/29/12,0.060448099
9.0830720514059E-01,1.39466997385025E+00,-1.89934220910073E+00,3/30/12,0.060028199
9.32777720689774E-01,1.39692112207413E+00,-2.05555785894394E+00,3/30/12,0.0756073
1.29568548202515E+00,1.60059959888458E+00,-1.94572947025299E+00,4/1/12,0.133415401
9.24851447343827E-01,1.59128095209599E+00,-1.91588426232338E+00,4/1/12,0.151308499
7.29400627315044E-01,1.40639454126358E+00,-1.86158252358436E+00,4/2/12,0.054455601
1.02732878327369E+00,1.58604715168476E+00,-2.01859174966812E+00,4/3/12,0.102331098
1.24051455259323E+00,1.50882633924485E+00,-1.97956995666027E+00,4/3/12,0.103914499
1.20121699571610E+00,2.07199088335038E+00,-2.05912425518036E+00,4/3/12,0.105824001
1.64264930486679E+00,6.85029441118240E-01,-1.89409533143044E+00,4/3/12,0.110531401
9.15108352899552E-01,2.00267890691758E+00,-2.04404364228249E+00,4/3/12,0.131350499
9.14991410076618E-01,1.40511895418167E+00,-1.91823770999908E+00,4/3/12,0.1845592
9.24305827915669E-01,1.57544370889664E+00,-1.86709367632866E+00,4/3/12,0.225109801
9.29312354326249E-01,1.60044598579406E+00,-2.03292416334152E+00,4/5/12,0.164417598
9.19789749383927E-01,1.39067491292954E+00,-2.08759615123272E+00,4/5/12,0.165058501
1.08730809688568E+00,1.97052778005600E+00,-2.06217166781425E+00,4/5/12,0.1656489
9.35659056901932E-01,1.79183703660965E+00,-2.01948662996292E+00,4/7/12,0.130031899
1.13138999938965E+00,1.62638182640075E+00,-1.94592411220073E+00,4/7/12,0.140441202
9.60254274308681E-01,1.47561056315899E+00,-1.84763466119766E+00,4/8/12,0.110831
9.18186600506306E-01,1.59432744979858E+00,-2.12367180585861E+00,4/12/12,0.212715201
9.17575557529927E-01,1.39203895330429E+00,-1.94024291634560E+00,4/13/12,0.095912501
9.11013992130757E-01,1.38999992609024E+00,-2.06904688477516E+00,4/14/12,0.221707098
1.06506470143795E+00,1.52740139961243E+00,-1.96816426515579E+00,4/15/12,0.0202347
9.38848599791527E-01,1.50399385690689E+00,-1.97740923166275E+00,4/16/12,0.020550601
9.09712940454483E-01,1.93982796967030E+00,-1.96965625882148E+00,4/17/12,0.225919001
9.14557415246964E-01,1.60629889965057E+00,-2.03621084690094E+00,4/18/12,0.1828526
9.10244685411454E-01,1.60370693206787E+00,-1.90817655920983E+00,4/18/12,0.193239801
8.19186776876450E-01,1.51490195989609E+00,-1.98810566365719E+00,4/19/12,0.211005799
9.1298275589943E-01,1.58666343390942E+00,-2.07832974195480E+00,4/20/12,0.005549699
9.52634032070637E-01,1.62584810256958E+00,-2.08632167577744E+00,4/20/12,0.083342299
9.2354171872139E-01,2.00006561577320E+00,-2.18180146813392E+00,4/20/12,0.190528899
9.29548078775406E-01,1.63531101644039E+00,-1.87495040893555E+00,4/21/12,0.010735199
1.11383603811264E+00,1.69253927469253E+00,-2.12248426079750E+00,4/21/12,0.0733243
9.25907762348652E-01,2.00555232763291E+00,-2.11233010292053E+00,4/24/12,0.0836493
9.58929258584977E-01,1.98481847047806E+00,-2.22929620146751E+00,4/25/12,0.214845601
1.04755072593689E+00,1.54282425343990E+00,-1.93253800868988E+00,4/27/12,1.3601E-05
1.18777644634247E+00,1.73112568855286E+00,-1.97136725187302E+00,4/27/12,0.205106799
1.25592781305313E+00,1.5290385723114E+00,-1.98425730168819E+00,4/28/12,0.0258159
1.24461767673493E+00,1.91737464666366E+00,-2.08404545783997E+00,4/28/12,0.1206473
1.25686236619949E+00,1.73407621681690E+00,-2.00804275274277E+00,4/30/12,0.192512002
8.03435021638871E-01,1.56259754896164E+00,-1.97409007251263E+00,4/30/12,0.192518398
1.22171496152877E+00,1.91845804452896E+00,-2.0968577504158E+00,4/30/12,0.1927265
1.08810107409955E+00,1.83936589062214E+00,-1.81220387220382E+00,4/30/12,0.192830201
1.27152550220490E+00,2.02774084806442E+00,-2.08024626970291E+00,4/30/12,0.1928319
1.17878062725067E+00,2.09699961543083E+00,-2.03298218250275E+00,4/30/12,0.1930128
7.83970776200294E-01,1.86424588263035E+00,-1.96237180233002E+00,5/1/12,0.0615234
9.1254101395607E-01,1.96549962759018E+00,-2.01868987381458E+00,5/1/12,0.061526299
9.25050193071366E-01,1.59751131534576E+00,-2.05008943080902E+00,5/1/12,0.061544601
9.14017163217067E-01,1.39570456743241E+00,-1.87496083378792E+00,5/1/12,0.061549898
5.12397155165672E-01,1.80955046415329E+00,-2.02520066499710E+00,5/1/12,0.061559901
1.10561902523041E+00,1.95648440122605E+00,-2.08416026830673E+00,5/4/12,0.145352699
1.07912430465222E+00,1.38902360200882E+00,-1.90117620825768E+00,5/4/12,0.183840498
9.47288423776627E-01,1.76948340237141E+00,-2.17221883535386E+00,5/4/12,0.183842499
1.14342448711396E+00,2.07017258405685E+00,-2.06729955673218E+00,5/4/12,0.2340037
9.54884630441666E-01,1.45660769939423E+00,-1.87257166802884E+00,5/4/12,0.234107502
1.29856038093567E+00,2.19967637062073E+00,-2.12196171283722E+00,5/5/12,0.001223899
1.10527875423431E+00,2.20136265754700E+00,-2.06038768887520E+00,5/5/12,0.020520199
1.18832986354828E+00,2.08756318092346E+00,-2.02820504903793E+00,5/5/12,0.0449224
1.12496411800384E+00,2.02210152149201E+00,-2.04376757144928E+00,5/6/12,0.0420455
1.10569119453430E+00,1.44923512935639E+00,-2.02290017008782E+00,5/6/12,0.153032601
9.16959197819233E-01,2.00670307874680E+00,-1.84947952032089E+00,5/6/12,0.192412499
8.42134012281895E-01,1.57722399234772E+00,-1.98931245803833E+00,5/6/12,0.1954487
1.08891837596893E+00,1.94700551927090E+00,-2.10296595990658E+00,5/6/12,0.220029801
9.1298364251852E-01,1.63030214309692E+00,-2.03035568594933E+00,5/7/12,0.022145901
9.38554745912552E-01,1.45954339504242E+00,-1.92102052867413E+00,5/7/12,0.091035601
1.81484475336037E-01,2.79683445692063E+00,-2.30352104902268E+00,5/7/12,0.101114199
9.67556102573872E-01,1.86737622022629E+00,-1.86244360208512E+00,5/7/12,0.1735087
9.17767722904682E-01,1.39137414693833E+00,-1.90705456137658E+00,5/7/12,0.231059801
9.26905690133571E-01,2.02049148082733E+00,-1.85136964023113E+00,5/7/12,0.2311102
9.26468044519425E-01,1.40711675882340E+00,-1.89770888686180E+00,5/8/12,0.015435599
9.44773870706559E-01,2.02145302295685E+00,-2.07856935262680E+00,5/8/12,0.023756798
9.47177302837371E-01,1.65471870899201E+00,-2.04989175796509E+00,5/8/12,0.0515575
1.45654131174087E+00,1.40434371232987E+00,-2.21263343095780E+00,5/8/12,0.092717402
6.07104338705540E-01,1.92780920267105E+00,-2.02477959394455E+00,5/8/12,0.152027499
7.34445655345916E-01,1.81229007542134E+00,-1.91620445847511E+00,5/8/12,0.183411799
7.14201821386814E-01,1.79128768444061E+00,-1.86521798968315E+00,5/8/12,0.200732101
7.17529833316803E-01,1.789799284935E+00,-1.91384589076042E+00,5/9/12,0.124407198
8.9266808629036E-01,1.78840444087982E+00,-1.91383205652237E+00,5/10/12,0.075921599
7.19623626768589E-01,1.79271004199982E+00,-1.91889645457268E+00,5/10/12,0.105635099
7.16562880575657E-01,1.79159791469574E+00,-2.03212674856186E+00,5/10/12,0.151256599
7.01423996686936E-01,1.79239985942841E+00,-1.89977824687957E+00,5/10/12,0.153453201
7.19545567035675E-01,1.79457202851772E+00,-2.10481959581375E+00,5/10/12,0.205624301
7.05490435659886E-01,1.78841688632965E+00,-1.85962671041489E+00,5/12/12,0.020130001
7.36171568930149E-01,1.765389752388E+00,-2.06043303012848E+00,5/12/12,0.032106601
7.05486620962620E-01,1.78836507797241E+00,-2.02793789505959E+00,5/13/12,0.075324502
8.36252862215043E-01,1.84008369147778E+00,-2.00379753112793E+00,5/13/12,0.090803899
6.98802417516709E-01,1.79715708196163E+00,-1.85065470933914E+00,5/13/12,0.122533701
5.11654067039490E-01,1.81111565828323E+00,-1.93428998589516E+00,5/13/12,0.2301278
7.20864214003086E-01,1.79361803531647E+00,-1.85030771493912E+00,5/14/12,0.160629101
7.1027287244797E-01,1.79313164651394E+00,-2.12466374635696E+00,5/16/12,0.001932699
7.20274007320404E-01,1.79155864715576E+00,-1.93672899901867E+00,5/16/12,0.002002999
7.20748817920684E-01,1.79123549461365E+00,-2.0451283633709E+00,5/16/12,0.002029002
7.32655942440033E-01,1.80052021443843E+00,-2.11447945833206E+00,5/16/12,0.083101898
8.77483092248439E-01,1.60941914319992E+00,-1.93422464132309E+00,5/16/12,0.143146198
9.12526093423366E-01,2.00969827175141E+00,-1.8774810731411E+00,5/16/12,0.202544
8.99270707368851E-01,1.99355725049973E+00,-2.06037775874138E+00,5/19/12,0.000553299
9.18739300966263E-01,2.00205191373825E+00,-2.09131152033806E+00,5/19/12,0.171258401
7.56578460335732E-01,1.55173364877701E+00,-1.93392164707184E+00,5/20/12,0.0105373
9.20277744531632E-01,2.00416485071183E+00,-2.09171266257763E+00,5/20/12,0.163844801
9.32666116952897E-01,1.96098300218582E+00,-2.08156785666943E+00,5/21/12,0.0435027
9.25667224824428E-01,1.94474800825119E+00,-1.85780683755875E+00,5/21/12,0.0437156
9.28527146577836E-01,2.00842806100846E+00,-2.06782768368721E+00,5/22/12,0.1603183
9.04373680055141E-01,2.00833462476731E+00,-1.83293281495572E+00,5/25/12,0.043209702
9.23891431093216E-01,2.00174058675766E+00,-2.06989081501961E+00,5/25/12,0.163516201
8.93371713161469E-01,1.91102404594422E+00,-2.26817292571068E+00,5/26/12,0.104554702
1.10296745300293E+00,2.18716610670090E+00,-2.00989271104336E+00,5/26/12,0.104652502
9.06451685726643E-01,2.00151423215866E+00,-1.83415398597717E+00,5/26/12,0.142819501
9.13413029909134E-01,2.00214236974717E+00,-2.13366816639900E+00,5/27/12,0.000906698
8.46013963222503E-01,1.91054477691651E+00,-2.02765146493912E+00,5/28/12,0.0603294
9.17866617441178E-01,2.00529981851578E+00,-2.08090016543866E+00,5/28/12,0.1209323
8.94688735902309E-01,2.00187050104142E+00,-1.87420301437378E+00,5/28/12,0.200652
9.17774613201618E-01,2.00468052625656E+00,-1.85563750267029E+00,5/29/12,0.045159001
