Fault_Index,Latitude,Longitude,Depth
1,342855.6025,1167749.865,6525.662773
1,342892.0724,1167749.865,6089.990257
1,342855.6025,1167832.51,6953.842763
1,342892.0724,1167832.51,6518.170247
2,344177.6593,1167772.835,6378.73709
2,344333.4999,1167772.835,6704.463147
2,344177.6593,1168354.412,6600.295627
2,344333.4999,1168354.412,6926.021684
3,341155.0805,1170229.99,6212.632687
3,341155.0805,1170229.99,6212.632687
3,341155.0805,1170229.99,6212.632687
3,341155.0805,1170229.99,6212.632687
4,343142.2342,1168503.292,6512.30299
4,343425.8003,1168503.292,6382.631088
4,343142.2342,1169058.174,6483.224969
4,343425.8003,1169058.174,6353.553067
5,343062.1115,1167763.104,6069.40843
5,343363.2381,1167763.104,6325.557577
5,343062.1115,1168279.289,6422.929263
5,343363.2381,1168279.289,6679.078409
6,343761.1137,1167042.295,6493.725076
6,343999.5733,1167042.295,5860.669051
6,343761.1137,1167506.513,7231.802612
6,343999.5733,1167506.513,6598.746588
7,343190.99,1168923.899,6508.36395
7,343190.99,1168923.899,6508.36395
7,343190.99,1168923.899,6508.36395
7,343190.99,1168923.899,6508.36395
8,344199.2052,1167873.025,6899.079319
8,344561.0193,1167873.025,6742.52348
8,344199.2052,1168663.346,6838.037465
8,344561.0193,1168663.346,6681.481626
9,343016.273,1167395.675,6314.007418
9,343494.1542,1167395.675,6678.7159
9,343016.273,1168220.138,6232.233031
9,343494.1542,1168220.138,6596.941514
10,346249.1532,1165295.135,7555.549041
10,346249.1532,1165295.135,7555.549041
10,346249.1532,1165295.135,7555.549041
10,346249.1532,1165295.135,7555.549041
11,344111.255,1167539.479,6718.241076
11,344367.7726,1167539.479,6701.302641
11,344111.255,1168176.859,6914.735751
11,344367.7726,1168176.859,6897.797316
12,343245.7348,1167237.425,6343.263002
12,343432.892,1167237.425,6586.883837
12,343245.7348,1167798.807,5823.156605
12,343432.892,1167798.807,6066.77744
13,342343.6381,1168292.961,7547.754601
13,342343.6381,1168292.961,7547.754601
13,342343.6381,1168292.961,7547.754601
13,342343.6381,1168292.961,7547.754601
14,344193.7597,1167697.141,6103.339626
14,344347.1426,1167697.141,6253.194865
14,344193.7597,1167840.882,6117.863609
14,344347.1426,1167840.882,6267.718848
15,343369.3499,1168371.442,6664.400896
15,343470.7062,1168371.442,6459.898582
15,343369.3499,1168453.707,6333.323442
15,343470.7062,1168453.707,6128.821128
16,342860.7563,1167557.13,6450.311897
16,343515.1751,1167557.13,6472.432402
16,342860.7563,1168267.136,6587.904044
16,343515.1751,1168267.136,6610.024548
17,344110.4963,1167538.001,6458.421817
17,344579.8114,1167538.001,6596.489
17,344110.4963,1168443.239,6562.783436
17,344579.8114,1168443.239,6700.850619
18,342595.801,1165938.905,6388.975294
18,342837.2381,1165938.905,6010.778696
18,342595.801,1166335.669,6853.000596
18,342837.2381,1166335.669,6474.803998
19,342514.5978,1169159.569,6693.980993
19,342977.5835,1169159.569,6477.78246
19,342514.5978,1169796.307,6918.981554
19,342977.5835,1169796.307,6702.783022
20,344384.1008,1160949.611,7042.260062
20,344534.9148,1160949.611,7012.59212
20,344384.1008,1161015.073,6996.956436
20,344534.9148,1161015.073,6967.288493
21,342865.3088,1167464.462,6426.917226
21,343357.4576,1167464.462,6410.596377
21,342865.3088,1168336.442,6553.962108
21,343357.4576,1168336.442,6537.641259
22,344116.9419,1164235.085,6749.792393
22,344530.9566,1164235.085,6599.828325
22,344116.9419,1165075.76,6581.14431
22,344530.9566,1165075.76,6431.180242
23,343403.5251,1168880.516,6481.944587
23,343791.6388,1168880.516,6412.759775
23,343403.5251,1169616.084,6934.384351
23,343791.6388,1169616.084,6865.199539
24,341272.6841,1169949.267,6334.562536
24,341290.453,1169949.267,6328.401404
24,341272.6841,1170285.83,6814.403022
24,341290.453,1170285.83,6808.241889
25,342427.5078,1165903,6495.904409
25,342654.537,1165903,6358.390136
25,342427.5078,1166159.371,6670.260493
25,342654.537,1166159.371,6532.74622
26,342847.4857,1167545.147,6314.59159
26,343346.4814,1167545.147,6501.422622
26,342847.4857,1168175.369,6377.37962
26,343346.4814,1168175.369,6564.210653
27,344490.4106,1160815.757,6939.057742
27,344490.4106,1160815.757,6939.057742
27,344490.4106,1160815.757,6939.057742
27,344490.4106,1160815.757,6939.057742
28,342423.4654,1165335.636,6473.14587
28,342427.5218,1165335.636,6478.223894
28,342423.4654,1165880.793,6751.536685
28,342427.5218,1165880.793,6756.61471
29,343692.2785,1168597.096,6503.618939
29,343930.5484,1168597.096,6722.916757
29,343692.2785,1169063.527,6578.739199
29,343930.5484,1169063.527,6798.037016
30,344286.8109,1160170.518,7041.419409
30,344856.1932,1160170.518,6978.478103
30,344286.8109,1161108.218,6984.823685
30,344856.1932,1161108.218,6921.882379
31,341677.5056,1165741.963,5941.461556
31,341868.5417,1165741.963,6342.435399
31,341677.5056,1165927.045,6356.616303
31,341868.5417,1165927.045,6757.590146
32,343478.4114,1168731.072,6699.868861
32,344008.7502,1168731.072,6752.51682
32,343478.4114,1169565.855,6669.901145
32,344008.7502,1169565.855,6722.549103
33,344306.7571,1164022.831,6601.212905
33,344580.4282,1164022.831,6599.037069
33,344306.7571,1164794.843,6569.639915
33,344580.4282,1164794.843,6567.464079
34,341955.902,1170287.718,6864.748175
34,342418.5502,1170287.718,6647.129486
34,341955.902,1170339.752,6918.228408
34,342418.5502,1170339.752,6700.609719
35,340920.1735,1170077.583,6886.44939
35,341229.9761,1170077.583,6894.743844
35,340920.1735,1170489.035,6801.542604
35,341229.9761,1170489.035,6809.837058
36,342522.7188,1167300.006,6409.244005
